OBJECTID,bcr_label,bcr_label_name,name_en,name_fr,name_sp,globalid,SHAPE_Length,SHAPE_Area
194,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{7D8E016D-7CE5-490D-B6A8-DB3D51878561},8132.54031028552,2231064.89375443
195,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{F244F665-955D-4789-AE70-E805663A8530},13644.1639890696,4036287.01403055
196,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{AD702E47-7BCC-439F-8162-BDD1FBA11A52},3155.87670144346,523104.68414348
197,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{96FAC7F9-AC36-4D6A-AD1A-268E5A39B21E},4083.94966942974,1001936.72919698
198,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{DD827046-B0CC-4A03-8306-50BABCB43E7A},6339.93224970415,1452338.03821451
199,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{4A0D05DB-50B8-4F94-9F69-7B7A80C0E1EE},15639.3776346555,4084562.77746399
200,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{03D17691-8570-457C-AFD1-FD9743582F0A},3574.65669671836,710396.715543525
201,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{4BE3CD6E-E299-4F55-A5CA-08F1B576047C},4097.97218639706,995364.66422813
202,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{E8FE5A89-FCE1-4E1E-8F32-7B2EDD8BE8C6},3053.66712664891,396225.206962388
203,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{BB906511-97B2-46B9-B562-0A9EB966847D},6172.52131713498,1486287.84893519
204,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{984B14A9-8F30-46D0-BA04-AA634B68AB8B},3617.63504688355,796251.269117439
205,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{FE96FB8E-7C13-4AB6-80FC-38008B6258C2},10495.1857018659,3649363.60732524
206,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{720C7C1C-EB42-4F6C-AAD9-E8C92C42617C},3776.0729052063,1005358.43447773
